time,open,high,low,close,tick_volume,spread,real_volume
2025-02-14 07:50:00,2929.81,2932.36,2929.74,2931.39,974,7,0
2025-02-14 07:55:00,2931.39,2931.81,2930.62,2931.02,776,7,0
2025-02-14 08:00:00,2931.03,2931.77,2930.65,2931.6,1099,7,0
2025-02-14 08:05:00,2931.6,2932.75,2930.89,2932.57,1167,7,0
2025-02-14 08:10:00,2932.57,2932.69,2929.95,2931.34,1292,7,0
2025-02-14 08:15:00,2931.34,2933.27,2930.87,2932.83,1213,7,0
2025-02-14 08:20:00,2932.83,2933.26,2932.08,2932.86,1184,7,0
2025-02-14 08:25:00,2932.86,2933.4,2932.37,2933.19,920,7,0
2025-02-14 08:30:00,2933.19,2933.8,2932.56,2933.7,842,7,0
2025-02-14 08:35:00,2933.7,2934.02,2933.1,2933.98,870,7,0
2025-02-14 08:40:00,2933.98,2936.46,2933.7,2936.46,1131,7,0
2025-02-14 08:45:00,2936.46,2936.8,2935.62,2935.9,1137,7,0
2025-02-14 08:50:00,2935.9,2936.06,2933.43,2933.88,1312,7,0
2025-02-14 08:55:00,2933.88,2934.56,2933.5,2934.33,608,7,0
2025-02-14 09:00:00,2934.33,2934.4,2932.15,2933.0,967,7,0
2025-02-14 09:05:00,2933.0,2934.3,2932.78,2933.51,760,7,0
2025-02-14 09:10:00,2933.51,2934.3,2932.93,2933.17,685,7,0
2025-02-14 09:15:00,2933.17,2933.92,2932.23,2933.34,785,7,0
2025-02-14 09:20:00,2933.34,2933.35,2930.59,2931.12,864,7,0
2025-02-14 09:25:00,2931.17,2933.01,2930.8,2932.31,1067,7,0
2025-02-14 09:30:00,2932.31,2934.26,2932.08,2934.04,859,7,0
2025-02-14 09:35:00,2934.05,2934.05,2932.0,2932.62,562,7,0
2025-02-14 09:40:00,2932.62,2933.96,2932.07,2932.98,534,7,0
2025-02-14 09:45:00,2932.98,2935.14,2932.68,2934.37,568,7,0
2025-02-14 09:50:00,2934.37,2934.96,2933.49,2933.79,667,7,0
2025-02-14 09:55:00,2933.79,2933.81,2930.89,2931.89,738,7,0
2025-02-14 10:00:00,2931.88,2932.6,2930.83,2931.92,930,7,0
2025-02-14 10:05:00,2931.92,2934.37,2931.49,2934.23,936,7,0
2025-02-14 10:10:00,2934.24,2936.15,2934.21,2936.14,910,7,0
2025-02-14 10:15:00,2936.14,2937.25,2935.38,2937.23,1216,7,0
2025-02-14 10:20:00,2937.23,2938.52,2936.02,2936.91,910,7,0
2025-02-14 10:25:00,2936.91,2937.28,2936.26,2936.72,748,7,0
2025-02-14 10:30:00,2936.73,2937.24,2934.52,2935.25,1010,7,0
2025-02-14 10:35:00,2935.25,2936.22,2934.2,2935.67,946,7,0
2025-02-14 10:40:00,2935.67,2935.71,2933.96,2934.48,695,7,0
2025-02-14 10:45:00,2934.49,2935.71,2933.5,2935.66,750,7,0
2025-02-14 10:50:00,2935.66,2935.99,2934.53,2935.51,670,7,0
2025-02-14 10:55:00,2935.51,2935.98,2935.04,2935.17,754,7,0
2025-02-14 11:00:00,2935.17,2936.97,2934.54,2936.89,864,7,0
2025-02-14 11:05:00,2936.89,2937.09,2935.55,2937.04,669,7,0
2025-02-14 11:10:00,2937.04,2937.56,2936.28,2937.55,671,7,0
2025-02-14 11:15:00,2937.54,2937.94,2936.42,2937.29,771,7,0
2025-02-14 11:20:00,2937.29,2937.88,2937.05,2937.61,659,7,0
2025-02-14 11:25:00,2937.61,2938.33,2937.43,2937.86,873,7,0
2025-02-14 11:30:00,2937.86,2938.7,2936.77,2937.76,800,7,0
2025-02-14 11:35:00,2937.76,2938.13,2934.97,2935.05,827,7,0
2025-02-14 11:40:00,2935.05,2935.12,2934.2,2934.48,734,7,0
